lncRNA	Chromosome	Start	End
AC002553.2	chr17	16023323	16023653
AC002558.2	chr17	47169826	47171049
AC002558.3	chr17	47160398	47167723
AC002563.1	chr12	119699768	119701011
AC003001.1	chrX	85210684	85220021
AC003005.2	chr19	57477649	57482996
AC003009.1	chr16	13331368	13332583
AC003035.1	chrX	13980066	13988820
AC003035.2	chrX	13955393	13963904
AC003043.2	chr17	44328613	44331462
AC003043.3	chr17	44276368	44281182
AC003044.1	chr7	24318094	24445128
AC003070.1	chr17	45396932	45397477
AC003070.2	chr17	45371402	45372057
AC003077.1	chr7	111757051	111762216
AC003084.1	chr7	117998858	118004045
AC003086.1	chr7	91880791	91886490
AC003087.1	chr7	23891704	23897335
AC003092.1	chr7	94022833	94066661
AC003092.2	chr7	94071759	94077157
AC003093.1	chr7	24778444	24795496
AC003098.1	chr17	43782804	43784682
AC003101.1	chr17	31571142	31575659
AC003101.2	chr17	31560132	31560573
AC003102.1	chr17	44221401	44223710
AC003659.1	chrX	28942050	28942568
AC003666.1	chrX	10242339	10365323
AC003681.1	chr22	29978950	30028236
AC003682.1	chr19	57625032	57626950
AC003684.1	chrX	9249920	9275206
AC003685.1	chrX	8863861	8867601
AC003687.1	chr17	33052107	33052867
AC003688.3	chr17	7282947	7284071
AC003950.1	chr17	57196081	57213300
AC003956.1	chr19	15124160	15126174
AC003958.2	chr17	41402416	41425049
AC003965.1	chr16	2866325	2868251
AC003965.2	chr16	2857898	2859726
AC003973.1	chr19	22017898	22052370
AC003975.1	chr7	125917871	125933832
AC003982.1	chr12	120389502	120395995
AC003984.1	chr7	84532476	84584322
AC003985.1	chr7	25321302	25326865
AC003986.1	chr7	19144293	19146253
AC003986.2	chr7	19112474	19114271
AC003986.3	chr7	19119933	19121916
AC003988.1	chr7	80246409	80312456
AC003991.1	chr7	88219359	88304367
AC003991.2	chr7	88216660	88219226
AC003992.1	chr7	114560961	114561517
AC004000.1	chrX	119422917	119423547
AC004009.1	chr7	27361591	27410358
AC004012.1	chr7	95471835	95473998
AC004014.1	chr7	108909453	108952666
AC004023.1	chr7	87109539	87111282
AC004034.1	chr16	2939714	2954276
AC004039.1	chr5	132688681	132723725
AC004047.1	chr4	103871890	103878436
AC004052.1	chr4	104230380	104411035
AC004053.1	chr4	104653874	104966793
AC004054.1	chr4	91108023	91112790
AC004063.1	chr4	104556960	104568877
AC004066.2	chr4	105540190	105552355
AC004067.1	chr4	109692004	109692703
AC004069.1	chr4	105137280	105140619
AC004076.2	chr19	57449689	57453011
AC004080.1	chr7	27239243	27241228
AC004080.17	chr7	27210801	27212965
AC004080.2	chr7	27186573	27193448
AC004080.4	chr7	27158344	27158976
AC004080.5	chr7	27147366	27152598
AC004080.6	chr7	27128969	27152561
AC004083.1	chr8	90198389	90620077
AC004112.1	chr7	112328189	112409623
AC004129.4	chr7	25254965	25257129
AC004130.2	chr7	20328299	20331747
AC004147.1	chr17	34080882	34082224
AC004147.2	chr17	34155566	34165736
AC004147.3	chr17	34142947	34147047
AC004147.4	chr17	33935437	34156000
AC004147.5	chr17	34118347	34118882
AC004148.1	chr17	5425139	5432876
AC004156.1	chr19	663482	669500
AC004158.1	chr16	72425948	72533892
AC004160.1	chr7	11180902	11520175
AC004160.2	chr7	11406955	11414078
AC004217.1	chr12	112256800	112259091
AC004221.1	chr19	1238179	1239522
AC004223.2	chr17	35073831	35074374
AC004223.4	chr17	35018660	35018991
AC004224.2	chr16	3458071	3515564
AC004231.1	chr17	40921430	40975926
AC004231.3	chr17	40850800	40863282
AC004232.1	chr16	3307573	3308393
AC004233.1	chr16	3003431	3005101
AC004233.2	chr16	3006120	3007388
AC004233.3	chr16	2981175	2981591
AC004241.1	chr12	47706083	47742294
AC004241.2	chr12	47731908	47732351
AC004241.3	chr12	47699401	47699917
AC004241.4	chr12	47768529	47769648
AC004253.1	chr17	31873926	31886666
AC004253.2	chr17	31830731	31831750
AC004257.1	chr19	15221015	15222297
AC004263.1	chr12	120224744	120225421
AC004263.2	chr12	120218070	120222668
AC004264.1	chr22	30246205	30246998
AC004381.1	chr16	20743663	20766620
AC004408.1	chr17	39173290	39177503
AC004415.1	chr7	10702676	10707406
AC004448.1	chr17	19457080	19458399
AC004448.2	chr17	19417769	19492991
AC004448.3	chr17	19411786	19413118
AC004448.5	chr17	19403283	19403872
AC004449.1	chr19	637105	637537
AC004461.3	chr22	19061041	19061843
AC004464.1	chr2	200086870	200100025
AC004466.1	chr12	47784923	47786002
AC004466.2	chr12	47817451	47817966
AC004466.3	chr12	47788426	47788971
AC004470.1	chrX	22698457	22768966
AC004470.2	chrX	22259797	23293146
AC004471.1	chr22	19121529	19124503
AC004471.2	chr22	19124309	19128449
AC004477.1	chr17	48045141	48048073
AC004477.2	chr17	48060383	48060669
AC004477.3	chr17	48066704	48067293
AC004485.1	chr7	24196662	24255719
AC004490.1	chr19	2212029	2215565
AC004492.1	chr7	107192559	107193300
AC004494.1	chr16	3542739	3545785
AC004522.4	chr7	99929392	99948620
AC004522.5	chr7	99974976	99979233
AC004522.6	chr7	99997690	100011634
AC004528.1	chr19	999796	1002757
AC004528.2	chr19	1010221	1010907
AC004540.1	chr7	26398593	26497595
AC004540.2	chr7	26369310	26376701
AC004542.1	chr22	30977516	30977858
AC004542.2	chr22	30976515	30978848
AC004543.1	chr7	19813685	19818090
AC004549.1	chr7	27873785	27876546
AC004551.1	chr12	112907628	113017751
AC004554.2	chrX	11668401	11757718
AC004584.1	chr17	56939932	56941275
AC004584.3	chr17	56982749	56985104
AC004585.1	chr17	40516892	40527002
AC004590.1	chr17	50627032	50631940
AC004593.1	chr7	29191582	29194109
AC004594.1	chr7	122328469	122440388
AC004596.1	chr17	44198882	44216565
AC004597.1	chr19	15760375	15770828
AC004637.1	chr19	3672582	3674295
AC004672.1	chr12	1380060	1391502
AC004672.2	chr12	1385833	1386987
AC004674.1	chrX	13310652	13319933
AC004687.1	chr17	58330884	58332508
AC004687.3	chr17	58241164	58247385
AC004690.2	chr7	123994622	124027659
AC004691.1	chr7	30796691	30803410
AC004692.2	chr7	43239066	43249268
AC004702.1	chr17	20185082	20322973
AC004704.1	chr4	111826881	112072698
AC004706.1	chr17	6653464	6655009
AC004707.2	chr17	50396438	50397888
AC004765.1	chr12	865288	867139
AC004771.1	chr17	4972851	4974681
AC004771.2	chr17	4987706	4988446
AC004771.3	chr17	4967995	4968822
AC004771.4	chr17	4986466	4987324
AC004775.1	chr5	132817248	132818000
AC004784.1	chr19	42977463	43171515
AC004797.1	chr17	49230853	49318011
AC004801.3	chr12	48019771	48025382
AC004801.4	chr12	48011304	48025469
AC004801.5	chr12	48005277	48011227
AC004801.6	chr12	48039784	48040761
AC004803.1	chr12	974133	991190
AC004812.2	chr12	120116907	120119000
AC004816.1	chr14	70809841	70815994
AC004816.2	chr14	70822004	70823984
AC004817.1	chr14	71212633	71218216
AC004817.2	chr14	71181456	71182106
AC004817.3	chr14	71141125	71143253
AC004817.4	chr14	71219100	71222724
AC004817.5	chr14	71179053	71243841
AC004825.2	chr14	70906657	70907111
AC004825.3	chr14	70945640	70959029
AC004828.1	chr14	72552580	72595125
AC004828.2	chr14	72515407	72544622
AC004830.2	chr7	50866747	51022990
AC004832.1	chr22	30475364	30492804
AC004832.4	chr22	30421206	30421536
AC004832.5	chr22	30420512	30420912
AC004832.6	chr22	30435544	30436247
AC004834.1	chr7	99252452	99325826
AC004835.1	chrX	119291529	119335610
AC004837.2	chr7	39700341	39703296
AC004837.3	chr7	39609610	39610290
AC004837.4	chr7	39621253	39623201
AC004839.2	chr7	107579557	107580057
AC004846.1	chr14	73242651	73245979
AC004846.2	chr14	73272182	73274081
AC004847.1	chr7	44958999	44960909
AC004852.2	chr7	9082557	9189857
AC004854.2	chr7	44884953	44886393
AC004862.1	chr7	80312574	80391474
AC004863.1	chr7	158957497	158958699
AC004865.2	chr1	35569813	35577729
AC004869.1	chr7	46477822	46481578
AC004869.2	chr7	46476457	46477940
AC004870.2	chr7	46969644	47027481
AC004870.3	chr7	47000620	47079128
AC004870.4	chr7	46890625	47049678
AC004875.1	chr7	121643334	121686363
AC004877.1	chr7	149858400	149862492
AC004879.2	chr7	10207670	10239863
AC004882.2	chr22	29705256	29719859
AC004882.3	chr22	29711820	29719714
AC004882.4	chr22	29767091	29768096
AC004884.2	chr7	105304277	105306642
AC004888.1	chr7	120746738	120752514
AC004893.3	chr7	98989867	98993778
AC004895.1	chr7	6080704	6093085
AC004900.1	chr14	71734927	71739794
AC004908.1	chr8	234347	234887
AC004908.2	chr8	233119	233692
AC004908.3	chr8	237045	237669
AC004917.1	chr7	106372251	106770207
AC004918.1	chr7	141652381	141656810
AC004918.5	chr7	141662922	141663846
AC004920.1	chr7	50839363	50841992
AC004921.1	chr7	77416673	77425444
AC004921.2	chr7	77487317	77498965
AC004923.4	chr11	68024809	68030461
AC004930.1	chr7	124337380	124349860
AC004936.1	chr7	9981516	10085494
AC004938.2	chr7	44582519	44583676
AC004941.1	chr7	149398204	149401456
AC004943.1	chr16	72805998	72809872
AC004943.2	chr16	72665123	72822781
AC004943.3	chr16	72772673	72773272
AC004944.1	chr8	5506068	5509126
AC004946.1	chr7	120141016	120227213
AC004946.2	chr7	120166443	120186064
AC004947.1	chr7	26551686	26558880
AC004947.3	chr7	26598600	26617295
AC004948.1	chr7	7619872	7620543
AC004949.1	chr7	10449820	10779944
AC004951.1	chr7	44004046	44007866
AC004951.4	chr7	43951910	44019151
AC004967.2	chr7	97966377	97970404
AC004969.1	chr7	90119299	90122890
AC004973.1	chrX	119356301	119393595
AC004974.1	chr14	71586269	71590354
AC004975.2	chr7	157281536	157282686
AC004982.1	chr7	7550104	7552440
AC004982.2	chr7	7552462	7566996
AC004988.1	chr7	40538127	40546928
AC004990.1	chr7	77990384	77995171
AC005005.3	chr22	31082156	31083565
AC005005.4	chr22	31051630	31068327
AC005006.1	chr22	30598309	30606687
AC005008.2	chr7	81175508	81199115
AC005009.1	chr7	86775081	86776022
AC005013.1	chr7	28957667	28959345
AC005014.2	chr7	16593626	16594224
AC005014.3	chr7	16471184	16471373
AC005014.4	chr7	16603816	16616295
AC005019.2	chr7	13854355	13862118
AC005021.1	chr7	95416108	95416462
AC005034.3	chr2	75697583	75697996
AC005034.4	chr2	75660462	75662208
AC005034.5	chr2	75719120	75720018
AC005034.6	chr2	75669989	75670454
AC005034.7	chr2	75710782	75728123
AC005037.1	chr2	200963263	201009102
AC005040.2	chr2	106933739	106996534
AC005041.3	chr2	74501717	74502365
AC005041.4	chr2	74415422	74416781
AC005041.5	chr2	74465339	74472961
AC005042.2	chr2	158685903	158753775
AC005046.2	chr7	107942116	107942740
AC005050.1	chr7	106569876	106598908
AC005050.2	chr7	106624072	106628696
AC005050.3	chr7	106425278	106511544
AC005052.2	chrX	119791971	119810949
AC005062.1	chr7	19918981	20140453
AC005064.1	chr7	103445207	103514007
AC005070.3	chr7	105102838	105105483
AC005071.2	chr7	100388809	100398366
AC005072.1	chr7	101960116	101961894
AC005076.2	chr7	87151422	87152420
AC005081.1	chr7	74280747	74289286
AC005082.1	chr7	23205787	23208045
AC005082.2	chr7	23200131	23206059
AC005083.1	chr7	20217577	20221700
AC005086.2	chr7	102153355	102154463
AC005089.1	chr7	73609262	73611502
AC005090.1	chr7	31414158	31421303
AC005091.1	chr7	27733064	27740395
AC005096.1	chr7	101822247	101824729
AC005100.1	chr7	25358235	25432202
AC005100.2	chr7	25431980	25500443
AC005104.1	chr2	241351340	241353104
AC005104.3	chr2	241360891	241372749
AC005144.1	chr17	71829870	71871750
AC005153.1	chr7	50641725	50643868
AC005154.3	chr7	30550217	30551569
AC005154.4	chr7	30525731	30533613
AC005160.1	chr7	40775558	40785217
AC005162.1	chr7	28987028	28988899
AC005162.2	chr7	28979967	29013367
AC005165.1	chr7	25593304	25751032
AC005165.3	chr7	25750890	25756256
AC005180.1	chr17	44794747	44797783
AC005180.2	chr17	44793199	44794474
AC005197.1	chr19	18881680	18883376
AC005208.1	chr17	70017324	70128859
AC005209.1	chr17	11874727	11881670
AC005220.1	chr20	53940160	53942508
AC005224.1	chr17	14295512	14297600
AC005224.2	chr17	14327335	14329474
AC005224.3	chr17	14303854	14305505
AC005225.1	chr14	73517233	73520648
AC005225.2	chr14	73555115	73633941
AC005225.3	chr14	73522878	73530610
AC005229.4	chr7	148696467	148698664
AC005229.5	chr7	148584818	148625479
AC005232.1	chr7	29122274	29128172
AC005234.1	chr2	70687142	70691824
AC005234.2	chr2	70629657	70648761
AC005237.1	chr2	241015599	241064116
AC005244.2	chr17	12201600	12215267
AC005252.4	chr12	125858132	125880724
AC005253.1	chr19	18557775	18561560
AC005253.2	chr19	18568506	18569375
AC005256.1	chr19	1748056	1748745
AC005258.2	chr19	2315162	2316875
AC005261.2	chr19	57304305	57308562
AC005261.3	chr19	57350848	57352012
AC005261.4	chr19	57261354	57262738
AC005262.2	chr19	3118665	3119304
AC005264.1	chr19	3141576	3155175
AC005277.1	chr17	12990149	12990610
AC005277.2	chr17	12982613	12983002
AC005280.1	chr14	73462362	73477175
AC005280.2	chr14	73458850	73466167
AC005280.3	chr14	73366897	73463642
AC005281.1	chr7	12570125	12571392
AC005288.1	chr17	39401793	39406233
AC005291.1	chr17	10320392	10341458
AC005291.2	chr17	10291820	10317926
AC005293.1	chr12	2332861	2335702
AC005301.1	chr22	16676016	16694648
AC005301.2	chr22	16725072	16747761
AC005303.1	chr17	13095695	13100939
AC005304.1	chr17	13932720	13940594
AC005304.2	chr17	13909231	13911212
AC005304.3	chr17	13957748	13966952
AC005306.1	chr19	1989401	1990370
AC005307.1	chr19	28418483	28429490
AC005323.1	chr17	10579040	10623036
AC005323.2	chr17	10383132	10537862
AC005324.1	chr17	15735023	15749192
AC005324.2	chr17	15761614	15763769
AC005324.5	chr17	15651590	15654489
AC005329.1	chr19	1392170	1396467
AC005329.2	chr19	1376773	1377520
AC005329.3	chr19	1385473	1389665
AC005330.1	chr19	1321225	1322846
AC005332.1	chr17	68246629	68247938
AC005332.2	chr17	68189884	68192802
AC005332.3	chr17	68131462	68131907
AC005332.4	chr17	68205489	68207493
AC005332.5	chr17	68133201	68135935
AC005332.6	chr17	68126666	68129586
AC005332.7	chr17	68188547	68189165
AC005339.1	chr19	4654964	4655524
AC005342.1	chr12	2004666	2011392
AC005342.2	chr12	1917951	1922867
AC005343.1	chr12	1741197	1747099
AC005343.4	chr12	1800862	1807486
AC005344.1	chr12	2217462	2217920
AC005355.1	chr5	134436711	134492519
AC005358.1	chr17	12760140	12790242
AC005363.2	chr16	1971655	1971896
AC005379.1	chr19	928259	928817
AC005381.1	chr19	28437060	28535277
AC005383.1	chr10	114280725	114281258
AC005387.1	chr19	18531613	18532632
AC005387.2	chr19	18532908	18536188
AC005391.1	chr19	956485	958149
AC005392.1	chr19	43153279	43160862
AC005392.2	chr19	43329295	43331430
AC005392.3	chr19	43360685	43368970
AC005393.1	chr19	39812972	39813555
AC005394.1	chr19	28491864	28632728
AC005394.2	chr19	28435388	28727680
AC005400.1	chr7	35036836	35125012
AC005410.2	chr17	11953889	11977594
AC005414.1	chr12	2440189	2457392
AC005476.2	chr14	71292729	71321882
AC005479.1	chr14	74474007	74474864
AC005479.2	chr14	74471930	74472360
AC005480.1	chr14	73896164	73938114
AC005481.1	chr7	157614023	157618765
AC005482.1	chr7	67691058	67697029
AC005486.1	chr7	151249325	151254390
AC005487.1	chr7	108598352	108639349
AC005495.2	chr17	69242230	69244097
AC005498.1	chr19	56535299	56535763
AC005498.2	chr19	56536156	56538575
AC005498.3	chr19	56545566	56567411
AC005515.2	chr19	39685244	39694577
AC005518.1	chr7	147671711	147673143
AC005519.1	chr14	74289127	74294425
AC005520.4	chr14	73787355	73803300
AC005520.5	chr14	73905267	73905636
AC005520.7	chr14	73873689	73885555
AC005522.1	chr7	76474587	76478856
AC005523.1	chr19	4785120	4791207
AC005523.2	chr19	4791745	4795559
AC005529.1	chr22	29513889	29535390
AC005532.1	chr7	7255154	7278071
AC005534.1	chr7	156654185	156659582
AC005537.2	chr7	42954135	43113931
AC005538.1	chr2	233946146	233955435
AC005538.3	chr2	233977872	233980018
AC005540.1	chr2	190880797	190882059
AC005544.1	chr17	67019934	67021743
AC005544.2	chr17	67032409	67033290
AC005546.1	chr19	13131571	13132410
AC005548.1	chr17	11197883	11242062
AC005549.1	chr17	34176538	34178166
AC005550.1	chr7	15689075	15690854
AC005550.2	chr7	15667947	15681980
AC005552.1	chr17	34725509	34726170
AC005562.1	chr17	30576464	30672789
AC005580.1	chr19	28316705	28386204
AC005586.1	chr7	150363777	150372590
AC005586.2	chr7	150337483	150343346
AC005592.1	chr5	142703782	142705421
AC005592.2	chr5	142732704	142737461
AC005594.1	chr19	4692021	4694340
AC005597.1	chr19	30219666	30228715
AC005599.1	chr4	10456745	10531022
AC005606.1	chr16	1997654	1998374
AC005606.2	chr16	1984877	1990477
AC005609.1	chr5	140878073	140882642
AC005609.2	chr5	140849105	140849696
AC005609.3	chr5	140875346	140875922
AC005609.4	chr5	140867513	140867959
AC005609.5	chr5	140785698	140828549
AC005614.1	chr19	40090754	40094406
AC005614.2	chr19	40048757	40090925
AC005616.1	chr19	28509238	28518728
AC005618.1	chr5	141326210	141329357
AC005618.2	chr5	141427295	141427752
AC005618.3	chr5	141350109	141350662
AC005618.4	chr5	141320980	141325985
AC005625.1	chr19	38361795	38362484
AC005632.3	chr16	21626742	21627569
AC005632.5	chr16	21526824	21531141
AC005632.6	chr16	21511635	21515131
AC005670.1	chr17	46916770	46923034
AC005670.3	chr17	46983287	47100323
AC005674.1	chr4	10006482	10009725
AC005674.2	chr4	10068089	10073019
AC005682.2	chr7	22822954	22833430
AC005692.1	chr7	141414383	141416390
AC005692.2	chr7	141429711	141431268
AC005692.3	chr7	141392155	141396517
AC005695.1	chr17	9171068	9179118
AC005695.2	chr17	9283174	9305651
AC005695.3	chr17	9244666	9244897
AC005696.1	chr17	2712309	2712833
AC005696.2	chr17	2683305	2685088
AC005696.3	chr17	2688473	2688960
AC005696.4	chr17	2720801	2723947
AC005697.2	chr17	27874645	27881237
AC005697.3	chr17	27930177	27930920
AC005699.1	chr4	11625714	11823906
AC005702.5	chr17	60019149	60020006
AC005703.1	chr17	15267461	15272290
AC005703.2	chr17	15276562	15279477
AC005703.3	chr17	15261015	15265707
AC005703.4	chr17	15379864	15417878
AC005703.7	chr17	15266848	15311760
AC005722.3	chr17	19719059	19722428
AC005722.4	chr17	19737682	19738542
AC005725.1	chr17	11288205	11290811
AC005726.2	chr17	28633206	28635950
AC005726.3	chr17	28573117	28574243
AC005726.4	chr17	28607963	28609730
AC005730.2	chr17	20008051	20009234
AC005730.3	chr17	19929372	19929737
AC005736.1	chr16	4032012	4032936
AC005740.3	chr5	141970637	141982687
AC005740.4	chr5	141952419	141953375
AC005740.5	chr5	141882815	141907939
AC005746.1	chr17	61382785	61384680
AC005746.2	chr17	61361668	61400243
AC005746.3	chr17	61354763	61355155
AC005753.1	chr5	141825708	141826325
AC005753.2	chr5	141718711	141775187
AC005753.3	chr5	141822076	141825488
AC005757.1	chr19	45135993	45136977
AC005759.1	chr19	18204730	18220480
AC005772.1	chr17	15014805	15052276
AC005772.2	chr17	15062087	15104517
AC005774.2	chr16	7614230	7614992
AC005775.1	chr19	490046	507833
AC005776.2	chr19	15346068	15348417
AC005785.1	chr19	15379076	15381194
AC005786.2	chr19	3558015	3558486
AC005786.3	chr19	3544199	3557569
AC005789.1	chr19	38385522	38386759
AC005790.1	chr19	5294247	5294696
AC005803.1	chr17	64067619	64070270
AC005808.1	chr20	53608354	53634590
AC005821.1	chr17	62699244	62754973
AC005821.2	chr17	62789109	62791765
AC005823.1	chr17	51335261	51336240
AC005823.2	chr17	51332679	51334090
AC005828.1	chr17	63381231	63414430
AC005828.2	chr17	63305262	63313521
AC005828.3	chr17	63391191	63431089
AC005828.4	chr17	63430468	63432211
AC005828.5	chr17	63454993	63455817
AC005832.1	chr12	4645496	4648027
AC005833.2	chr12	4804499	4830747
AC005837.1	chr17	76671942	76673658
AC005837.4	chr17	76709760	76710045
AC005838.3	chr17	15530773	15531089
AC005840.2	chr12	6393879	6396148
AC005840.4	chr12	6466537	6467135
AC005841.1	chr12	2797136	2803938
AC005842.1	chr12	3871579	3910382
AC005845.1	chr12	6155035	6160719
AC005856.1	chr17	61119095	61135969
AC005863.1	chr17	14767583	14780686
AC005865.2	chr12	3300698	3318677
AC005871.1	chr10	117562084	117572457
AC005871.2	chr10	117425194	117490419
AC005884.1	chr17	61034636	61070122
AC005884.2	chr17	61069856	61070356
AC005888.1	chr12	126165730	126191406
AC005899.2	chr17	32430967	32432841
AC005899.4	chr17	32328441	32329395
AC005899.5	chr17	32324431	32360700
AC005899.6	chr17	32411217	32412420
AC005899.7	chr17	32408013	32408309
AC005899.8	chr17	32410159	32410746
AC005899.9	chr17	32423971	32446038
AC005901.1	chr17	61460224	61463384
AC005906.2	chr12	4909867	5026012
AC005906.3	chr12	5088002	5092742
AC005908.2	chr12	3462718	3463586
AC005908.3	chr12	3483714	3492819
AC005909.1	chr18	68427030	68436918
AC005909.2	chr18	68237100	68495133
AC005911.1	chr12	2885819	2886329
AC005912.2	chr12	3171657	3174056
AC005914.1	chr20	53738728	53741797
AC005920.1	chr17	50934989	50944713
AC005920.2	chr17	51042524	51085471
AC005920.3	chr17	50944104	50948750
AC005920.4	chr17	50909637	50910232
AC005921.3	chr17	50693448	50695449
AC005921.5	chr17	50781306	50792493
AC005944.1	chr19	3052910	3053724
AC005954.1	chr19	3754620	3756659
AC005954.2	chr19	3753840	3756517
AC005962.1	chr17	58202352	58203003
AC005962.2	chr17	58219375	58233479
AC005972.3	chr17	62910021	62968549
AC005993.1	chr14	71848606	71928596
AC005996.1	chr7	151427683	151439124
AC005998.1	chr7	153715074	153748986
AC005999.1	chr7	51614251	51630870
AC005999.2	chr7	51471717	51729716
AC006001.2	chr7	66654538	66671523
AC006003.1	chr7	157739010	157740456
AC006007.1	chr7	145675679	145681369
AC006008.1	chr7	150234194	150237608
AC006013.1	chr7	68091223	68119209
AC006017.1	chr7	152120001	152121717
AC006019.1	chr7	154055286	154063325
AC006019.2	chr7	154092201	154096043
AC006019.3	chr7	154026287	154038604
AC006026.3	chr7	23680195	23680786
AC006027.1	chr7	30424672	30425412
AC006033.2	chr7	38326070	38329643
AC006037.1	chr2	234109081	234109481
AC006040.1	chrY	2828192	2840851
AC006041.1	chr7	15841297	15842360
AC006041.2	chr7	15736373	15796370
AC006042.1	chr7	8114025	8116561
AC006042.3	chr7	7949853	7950709
AC006043.1	chr7	78392626	78448999
AC006055.1	chr3	43778961	43779982
AC006058.1	chr3	44117299	44122365
AC006058.2	chr3	43996896	43997443
AC006058.3	chr3	43998081	43999149
AC006059.1	chr3	42601963	42654388
AC006059.3	chr3	42692663	42732922
AC006059.4	chr3	42719401	42723136
AC006059.5	chr3	42665873	42683793
AC006062.1	chrX	8487165	8504564
AC006063.1	chr12	4838955	4842675
AC006063.2	chr12	4960113	4963450
AC006063.3	chr12	4857283	4859904
AC006063.4	chr12	4906393	4909265
AC006064.1	chr12	6543504	6544931
AC006064.2	chr12	6578622	6584739
AC006064.3	chr12	6532290	6533498
AC006064.4	chr12	6537794	6538370
AC006064.5	chr12	6510275	6510522
AC006065.3	chr12	126628172	126690322
AC006065.4	chr12	126610034	126690318
AC006076.1	chr20	53799823	53827297
AC006111.1	chr16	3581181	3583266
AC006111.2	chr16	3650636	3651703
AC006111.3	chr16	3686998	3687380
AC006112.1	chr16	6380476	6395578
AC006115.2	chr19	56669941	56823395
AC006116.10	chr19	56354493	56368053
AC006116.11	chr19	56376704	56377284
AC006116.12	chr19	56380230	56383924
AC006116.5	chr19	56387412	56388424
